SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
19964,147,Deer,West-End,2018,18-Sep,LT,1,840,921,8150,MUSCLE,V,13.37,-27.2,3.59,.
19965,148,Deer,West-End,2018,18-Sep,LT,1,385,430,532,MUSCLE,V,11.27,-27.78,3.18,.
19966,149,Deer,West-End,2018,18-Sep,LT,1,354,389,438,MUSCLE,V,11.39,-27.54,3.21,.
19967,150,Deer,West-End,2018,18-Sep,LT,1,261,290,190,MUSCLE,V,10.73,-28.44,3.29,.
19968,151,Deer,McIntosh-Bay,2018,18-Sep,LT,1,616,680,2851,MUSCLE,V,10.57,-27.61,4.52,.
19969,153,Deer,McIntosh-Bay,2018,18-Sep,LT,1,770,846,6080,MUSCLE,V,10.79,-26.82,3.81,.
19970,154,Deer,McIntosh-Bay,2018,18-Sep,LT,1,523,582,1550,MUSCLE,V,10.26,-26.1,3.55,.
19971,156,Deer,McIntosh-Bay,2018,18-Sep,LT,1,549,610,1940,MUSCLE,V,9.98,-26.74,3.9,.
20065,.,Deer,West-End,2018,18-Sep,CLAM,1,.,60,13.74,MUSCLE,V,2.26,-28.5,3.98,.
20066,.,Deer,West-End,2018,18-Sep,CLAM,1,.,86,49.12,MUSCLE,V,2.83,-28.53,3.68,.
20067,.,Deer,West-End,2018,18-Sep,CLAM,1,.,72,23.74,MUSCLE,V,2.39,-28.85,4.12,.
20068,.,Deer,West-End,2018,18-Sep,CLAM,1,.,79,41.27,MUSCLE,V,3.09,-29.67,4.19,.
20069,.,Deer,West-End,2018,18-Sep,CLAM,1,.,54,9.85,MUSCLE,V,1.86,-28.89,4.22,.
20070,.,Deer,West-End,2018,18-Sep,CLAM,1,.,73,28.9,MUSCLE,V,2.74,-28.6,3.89,.
20071,.,Deer,West-End,2018,18-Sep,CLAM,1,.,62,17.91,MUSCLE,V,3.11,-29.08,4.66,.
20072,.,Deer,West-End,2018,18-Sep,CLAM,1,.,82,35.67,MUSCLE,V,2.64,-28.87,4.14,.
20073,.,Deer,West-End,2018,18-Sep,CLAM,1,.,66,23.88,MUSCLE,V,2.57,-29.11,4.29,.
20074,.,Deer,West-End,2018,18-Sep,CLAM,1,.,71,25.81,MUSCLE,V,2.37,-29.06,4.06,.
20075,.,Deer,West-End,2018,18-Sep,SNAIL,6,.,.,0.33,VISCERA,V,0.77,-18.14,4.87,Physidae
20076,.,Deer,West-End,2018,18-Sep,SNAIL,6,.,.,0.3,VISCERA,V,0.89,-18.91,4.85,Physidae
20077,.,Deer,West-End,2018,18-Sep,SNAIL,4,.,.,0.37,VISCERA,V,0.75,-18.06,4.76,Physidae
20078,.,Deer,West-End,2018,18-Sep,SNAIL,4,.,.,0.18,VISCERA,V,1.05,-19.41,4.65,Physidae
20079,.,Deer,West-End,2018,18-Sep,SNAIL,4,.,.,0.23,VISCERA,V,0.69,-17.76,4.81,Physidae
20080,.,Deer,West-End,2018,18-Sep,SNAIL,4,.,.,0.21,VISCERA,V,0.83,-18.7,4.78,Physidae
