WATERBODY_LID,FN2_WBY,WATERBODY_NAME,Type,UTM_DATUM,UTM_ZONE,UTM_NORTHING,UTM_EASTING,LAT,LON,LATITUDE,LONGITUDE,District,FMZ,REGION,SRFAREA,SECCHI,DEPMN,DEPMAX,MEI,TDS,GDD_90_04,Primary_Watershed,Secondary_Watershed,Tertiary_Watershed,Alternate_Name
16-4393-56423,4GD1302,Kagianagami,Lake,NAD27,16,5642331,439329,505553,875148,50.93,-87.86,13D,2,NWR,7588.00,6.20,8.9,45,9.4,.,1340.40,,,,
15-4390-54514,5PD0519,Kakagi,Lake,NAD27,15,5451444,439025,491253,935014,49.21,-93.84,,5,NWR,11185.70,8.20,20.6,58,3.3,.,1679.13,,,,
16-5341-54366,,Killala,Lake,NAD27,16,5436672,534565,490455,863136,49.08,-86.53,,7,NER,2396.00,,,91.4,,,1250.000,2,02B,02BA,
17-7185-50089,2KD0207,Kingscote,Lake,NAD27,17,5008869,718453,451205,781307,45.20,-78.22,,15,SR,213.70,6.30,7.5,26.2,3.8,,1778.067,,,,
17-5344-51754,ON14090,Kukagami,Lake,NAD27,17,5175411,534382,464400,803300,46.73,-80.55,35D,10,NER,.,.,.,.,.,.,1717.47,,,,
16-6225-54072,2BC1117,Kwinkwaga,Lake,NAD27,16,5407210,622456,484828,851956,48.81,-85.33,,7,NER,811.30,3.00,6.6,36.6,14,,1369.80,,,,
16-5079-54800,4JD1505,Long-1,Lake,NAD27,16,5480048,507929,492830,865326,49.47,-86.89,,7,NER,12820.40,3.10,39.2,186.1,2.5,.,1328.93,,,,
16-3792-56718,4GD1803,Luella,Lake,NAD27,16,5671816,379173,511113,884344,51.19,-88.73,13D,2,NWR,768.50,2.60,6.5,35.1,17.1,.,1364.80,,,,
17-5430-52549,2JD0407,Makobe,Lake,NAD27,17,5254927,542993,472654,802547,47.45,-80.43,,11,NER,2021.50,4.60,5.8,22.6,4,,1633.33,,,,
15-5853-54894,5QA0512,Mameigwess-1,Lake,NAD27,15,5489388,585270,493311,914916,49.55,-91.82,,4,NWR,5309.70,7.60,16.1,50,2.3,,1627.33,,,,
17-4235-50696,2CG0903,Manitou-1,Lake,NAD27,17,5069579,423530,454639,815901,45.78,-81.98,35D,10,NER,10460.70,8.40,15.1,49.1,12.1,179.8,1748.27,2,02D,02DC,
17-5548-51889,2DC0121,Manitou-2,Lake,NAD27,17,5188929,554783,465113,801653,46.85,-80.28,,11,NER,322.10,8.40,18,47.6,2.3,,1710.60,,,,
17-5305-51809,ON17202,Matagamasi,Lake,NAD27,17,5180946,530534,464700,803600,46.78,-80.60,,10,NER,,,,,,,1716.53,,,,
15-4501-57850,4CA2602,McInnes,Lake,NAD27,15,5785046,450144,521256,934347,52.22,-93.73,,2,NWR,6533.90,3.20,15.3,53.4,1.9,.,1504.40,,,,
16-5406-54956,2BB0105,McKay,Lake,NAD27,16,5495573,540596,493648,862617,49.61,-86.44,17D,7,NER,3131.60,4.40,9.4,48.8,11.3,.,1334.80,2,02B,02BB,
17-5595-52642,2JD0120,Mendelssohn,Lake,NAD27,17,5264209,559486,473150,801235,47.53,-80.21,,11,NER,460.50,6.40,10.7,33.5,.,,1618.67,4,1,,1
17-4340-52773,4LA1021,Mesomikenda,Lake,NAD27,17,5277340,433992,473853,815244,47.65,-81.88,,8,NER,1706.20,5.30,13.6,71.4,2.9,.,1551.27,4,04L,04LA,
17-5001-53061,4LA0315,Midlothian,Lake,NAD27,17,5306078,500104,475436,805955,47.91,-81.00,,8,NER,367.30,4.60,8.2,32.3,8,.,1547.07,,,,
17-3006-53592,4LH0103,Missinaibi,Lake,NAD27,17,5359225,300624,482124,834129,48.36,-83.69,21D,7,NER,7706.90,4.20,19.2,94,2.86,55,1407.93,4,04L,04LH,
17-4928-51746,2CF1304,Nelson,Lake,NAD27,17,5174576,492783,464336,810540,46.73,-81.09,,10,NER,315.80,8.20,11.1,50.3,2.9,,1714.733,,,,
16-3921-55210,2AD,Nipigon,Lake,NAD27,16,5520960,392127,495000,883000,49.83,-88.50,,6,NWR,448060.00,6.50,54.9,137,1.46,101.5,1395.867,,,,
16-6458-60417,4ED1804,North Raft,Lake,NAD27,16,6041700,645800,543015,844455,54.50,-84.75,,1,NER,661.90,3.00,3.9,10.3,25.2,.,894.00,,,,
