"","Lake_Name","Trophic_Category","Taxonomic_ID_Code","d15N","d13C","d13C_Cor","SI_ID","Trophic_Group"
"49","Catchacoma","PRED","81",10.9957634407087,"-28.607910955340198",-28.704875382123,"C062","LakeTrout"
"50","Catchacoma","PRED","81",11.1072589271474,"-28.791898582920499",-28.959770440237,"C063","LakeTrout"
"51","Canoe_K","INVERT","amphipod",-0.117683769450692,"-25.6343398633201",-22.3200661193765,"CAN014","Invert"
"52","Canoe_K","INVERT","amphipod",0.0934999273375988,"-25.6140531487568",-22.4984240938775,"CAN015","Invert"
"53","Canoe_K","INVERT","caddisfly",2.35065869071368,"-27.8597231963741",-25.8416396037022,"CAN019","Invert"
"54","Canoe_K","INVERT","dragonfly",1.86977525976264,"-25.830289621413",-25.1314892317603,"CAN016","Invert"
"55","Canoe_K","INVERT","dragonfly",2.18610926018939,"-25.3685176036429",-24.7503009342265,"CAN017","Invert"
"56","Canoe_K","INVERT","dragonfly",2.12034948737197,"-25.3958323200692",-24.8600266332681,"CAN018","Invert"
"57","Canoe_K","INVERT","head of insect",1.32164554969864,"-23.8862278313747",-22.0853944360844,"CAN021","Invert"
"58","Canoe_K","INVERT","leech",2.88041590188873,"-23.991263216828",-23.4361834329494,"CAN022","Invert"
"59","Canoe_K","INVERT","mayfly",0.985307701252004,"-24.3891795153084",-22.4413714805208,"CAN012","Invert"
"60","Canoe_K","INVERT","mayfly",0.596992718427395,"-24.7971094756714",-22.5003709598137,"CAN013","Invert"
"61","Canoe_K","INVERT","predatory diving beetle",2.19045397318195,"-27.5951364264274",-26.6454544167565,"CAN023","Invert"
"62","Canoe_K","LFF","larval fish",3.44614363561529,"-26.748461691409",-25.339384198099,"CAN020",NA
"63","Canoe_K","MUSSEL","mussel",2.82569778503069,"-30.3460124180671",-28.5652378357851,"CAN024","Mussel"
"64","Canoe_K","MUSSEL","mussel",3.50755884521747,"-29.0548888427002",-28.5155912360773,"CAN025","Mussel"
"65","Canoe_K","MUSSEL","mussel",3.06233602833993,"-29.7714079614196",-28.408560427638,"CAN026","Mussel"
"66","Canoe_K","MUSSEL","mussel",3.09009764714567,"-29.7305833530691",-28.5850088431817,"CAN027","Mussel"
"67","Canoe_K","MUSSEL","mussel",3.19258509146949,"-29.5139614298076",-28.6993246200966,"CAN028","Mussel"
"68","Canoe_K","MUSSEL","mussel",3.20393331483529,"-29.7124187458255",-28.7512974428728,"CAN029","Mussel"
