"","Lake_Name","SEAc","dY_range","dX_range","TA","CD","NND","SDNND"
"39","Kaiashkons",0.0511124232318465,0.65425435122213,0.278625393580731,0.097549089606288,0.175280315045437,0.0613663994736456,0.0323517458119407
"40","Kakagi",0.112204800924021,0.49626536557104,0.60604658497307,0.18871328181463,0.241100568590395,0.0878425533551936,0.032917686260675
"41","Katimiagamak",0.0403555879747496,0.67141223511025,0.224145687950769,0.08069718152026,0.162646726485963,0.0814105831905365,0.0630019223753938
"42","Kwinkwaga",0.0450915676231438,0.49928220220364,0.410311165344722,0.0819568065176046,0.177000528120299,0.06888841641295,0.0508380375490776
"43","Lake_of_Bays",0.271810670340591,1.65801359951346,0.670420333971853,0.523646402423313,0.323809580856949,0.217786930283947,0.256726716184711
"44","Longlegged",0.0395759055146573,0.5518818489098,0.345158937424964,0.0960593265204484,0.139003865523109,0.0541354538098769,0.038477000403146
"45","Lower_Manitou",0.0631916876306704,0.91890994721904,0.339188403567036,0.15759253374054,0.252544405677174,0.0660445780906715,0.0532379913679785
"46","Mameigwess-1",0.0506139554350803,0.78700496250908,0.233635045256788,0.0957343601540241,0.171671789443903,0.0920413594895637,0.0799113208753956
"47","Mendelssohn",0.0824135049100588,0.35072139541104,0.814849301721338,0.150318256022774,0.251036863469892,0.11509382202989,0.0849059466737612
"48","Mesomikenda",0.0956313312919276,0.58687750612343,0.998,0.171845921001837,0.321117434112874,0.0843247620544428,0.0607309251966008
"49","Midlothian",0.0573575057819217,0.63996116726298,0.352154956757916,0.122550526178592,0.171108176004472,0.0891192110432134,0.042976074165163
"50","Mold",0,0.30163226789157,0,8.67361737988404e-19,0.0839185216696159,0.014336442378305,0.0148232746163116
"51","Muskoka",0.0195947046095231,0.316230637953829,0.246397723178486,0.0506520819348926,0.0869720546661559,0.041252978192257,0.0558389737319013
"52","Panache",0.0218772134071339,0.39858997634688,0.170382630707818,0.0347967149083368,0.105954339187127,0.0600383504402355,0.050636977064764
"53","Pickerel",0.0277401652041316,0.59342789283107,0.167317037399581,0.0554470081059568,0.150902459328821,0.0459477956383688,0.0439997025039564
"54","Pipestone",0.0143078006465507,0.32544996849064,0.115329687589002,0.0156996279130182,0.114337784033266,0.0500969673174672,0.0215032322454435
"55","Radisson",0.0331272471511776,0.4869474747552,0.281636635659924,0.0567566512717099,0.144790103230089,0.0778410417558491,0.0502140657085695
"56","Raven",0.0311886118040054,1.09593885366313,0.100438752519862,0.0612752073436988,0.21002532533228,0.0794789192074098,0.167415042348868
"57","Rib",0.0195927572455888,0.71786387198557,0.131494252873564,0.0463542934415146,0.118648039207178,0.075098803538384,0.0796131302793513
"58","Rosseau",0.00881046072287839,0.2712895390049,0.120745310107438,0.0217812867406133,0.0698342459938485,0.0335464241991508,0.0306674970268733
"59","Rushbrook",0.0398256519224454,0.54029863323543,0.695726056630243,0.0744604249650997,0.226652302951504,0.0770387473413993,0.0571709970058979
"60","Shakwa",0.258112710953316,1.31135473457676,0.998,0.395338020086084,0.558741384936331,0.144438418597775,0.177545245195353
"61","Shillington",0.0182555304208552,0.49394328305713,0.0973852353994202,0.0364252502406727,0.124779371882831,0.0262408991900821,0.0184550417200316
"62","Silver",0.0499806486235564,0.93039680280605,0.219834093771272,0.0632731349802191,0.206621770631045,0.16336486138,0.175641853367813
"63","Stormy",0.0215454047296679,0.87039291267971,0.250692549106674,0.0504163263997459,0.158824808008347,0.0445645410266257,0.0575333740039161
"64","Sturgeon",0.0478377678096328,0.81840551025255,0.263215653794389,0.131948868169277,0.167001866318928,0.0720369151608942,0.105152927814727
"65","Tadpole",0.0127125377344378,0.44318365122432,0.115427606771709,0.0286183479307951,0.113920787592392,0.0369522197605351,0.0141431387601894
"66","Temagami",0.0487495944550915,0.80104074863397,0.330155271043312,0.14820292595382,0.154040170758774,0.0473152108433525,0.0597681206553151
"67","Thieving Bear",0.0242724321932288,0.65,0.118552799086013,0.0429738779174146,0.147736494143413,0.0548234164326587,0.0347172427367513
"68","Three_Mile",0.0900531199674278,0.24120735294118,0.830999971295518,0.146414204030809,0.288137245817589,0.0802838868905249,0.047509585342451
"69","Turtleshell",0.0694404641998915,0.55,0.374308398302576,0.102934809533208,0.193776212951145,0.0708847330091267,0.106954541605742
"70","Upper_Manitou",0.0423627988991077,0.69553331600446,0.36872639193864,0.112090181858814,0.187333480372812,0.0544740296410705,0.0460614463133955
"71","Upper_Medicine_Stone",0.0769086276689691,0.30432195086236,0.62683104775246,0.114347504946817,0.237815778819618,0.0826241515131856,0.0791569953787006
"72","Victoria",0.0266807178545867,0.59565775065154,0.32448317794893,0.0810291207372655,0.150620493887941,0.0432212622652989,0.0345792518348698
"73","Wapageisi",0.0360683019331342,0.51234935524928,0.309365875424088,0.102030235696166,0.136276625237801,0.0635564741135323,0.0390080546734645
"74","White_Partridge",0.0415353617708167,0.388600566662499,0.360016740384537,0.0666979374764969,0.142368176179201,0.0690264966694568,0.0661922114455935
"75","Windy",0.00379076373500938,0.41470588235294,0.029657007541625,0.00614946774024894,0.0987687249557919,0.0284812373413273,0.0310592854005456
