"","Lake_Name","sampling_year","Area_ha","Secchi_depth","summer_air_temp","SEAc","dY_range","dX_range","TA","CD","NND","SDNND","LaTro_CUE","total_pred_CUE","log_area_ha","log_dY_range","log_dX_range","log_SEAc","log_LaTro_CUE","log_NND","log_SDNND","log_CD","log_total_pred_CUE"
"13","Canoe_K",2011,291,NA,21.1086956521739,0.0394219793691605,0.707294239450841,0.199534939808311,0.0939271505626036,0.190498702687181,0.0524778527605274,0.0387316166086416,NA,NA,5.67332326717149,-0.346308519394621,-1.61176592110313,-3.23343176621069,NA,-2.94736405056965,-3.25109904585043,-1.65810989447961,NA
"14","Carling",2009,1555.61499,NA,14.4945652173913,0.0140455179143186,0.51214358704959,0.112592097850533,0.0338044200420162,0.102293007067645,0.042392345976333,0.0368091582651565,0.486,4.033,7.34962623838842,-0.669150249803314,-2.18398374468651,-4.26545194375383,-0.721546655081643,-3.16078745246593,-3.30200859886824,-2.27991396547103,1.39451051589123
"15","Catchacoma",2008,708.97,NA,18.0782608695652,0.191382032628604,1.02367512005298,0.717432222087958,0.269918556622782,0.32161089273447,0.152749896590192,0.153012958467024,NA,NA,6.56381321251984,0.0233992107046846,-0.332076799799273,-1.65348367778344,NA,-1.87895335791795,-1.87723266531329,-1.13441287180791,NA
"16","Catfish",2007,528.9,3.26,17.9597826086957,0.0390916262567745,0.34723596973465,0.224969037955007,0.0611732734943423,0.13657994272028,0.0784819004359511,0.0204934204155436,0.571926678621239,0.438732815301853,6.27079937807193,-1.05775070209584,-1.49179249533557,-3.24184699715765,-0.558744480047243,-2.54488724847348,-3.8876513996943,-1.99084517483514,-0.823864672372308
"17","Cecil",2009,1560.765503,NA,15.045652173913,0.126078780872733,0.62318956448231,0.846101822171674,0.384400767829012,0.231153831549024,0.113967136933943,0.0817044048449884,2.506,1.257,7.35293168693753,-0.472904529619858,-0.167115569441338,-2.0708483223932,0.918687856473877,-2.17184514465542,-2.5046473636982,-1.46467185265663,0.22872792960811
"18","Charleston",2008,2642.400879,4,19.745652173913,0.0563319361647468,1.07500143211399,0.289300078221752,0.159543259740789,0.176749184214829,0.0747126032517797,0.102548360982558,0.924,2.909,7.87944320672866,0.0723219937777992,-1.24029079661726,-2.87649365484397,-0.0790432073404529,-2.5941064828447,-2.27742077720914,-1.73302358969091,1.06780937951306
"19","Cirrus",2010,2215.814697,2.5,18.575,0.0256840363190129,0.90549767039827,0.144632278206515,0.0722574014842561,0.157488410304061,0.0611522252286645,0.0652424193720904,0.692,1.2,7.70337542388342,-0.0992705743861419,-1.93356077005682,-3.66188563497982,-0.368169323364468,-2.79438902783542,-2.72964541773406,-1.84840340879503,0.182321556793955
"20","Cliff",2009,2236.313477,3.75,15.2173913043478,0.0555470005522348,0.86244895537996,0.431466987841423,0.17807425785037,0.164473840718766,0.0739446017893368,0.0928432584308215,0.729,3.146,7.71258401988681,-0.147979313996118,-0.840564276967226,-2.89052575981362,-0.316081546973479,-2.60443909060562,-2.37684260091884,-1.80500374440843,1.14613180463609
"21","Confusion",2009,1462.985718,3.75,15.1891304347826,0.0930655643397152,0.91377906413288,0.501057511852174,0.208846412131505,0.240948569864483,0.0836473506727238,0.0799543746472927,1.165,1.095,7.28823463883987,-0.090166460891434,-0.691034390369497,-2.37445104131948,0.152721087017664,-2.48114552362619,-2.52629912390965,-1.42317177131709,0.0907543632684641
"22","Conifer",2009,1137.930298,3,15.2369565217391,0.107381881675565,0.92551187612969,0.608285455296824,0.237590967322571,0.247158052588906,0.0972323995368157,0.104505227688679,0.863,1.458,7.03696636324981,-0.0774083149280741,-0.497111008352607,-2.23136381062137,-0.147340587898709,-2.33065129448931,-2.25851818309953,-1.39772725797194,0.377065633586466
"23","Cross",2010,108.1861496,4.5,18.1608695652174,0.00946461873597607,0.232174654181801,0.135913658818409,0.021079136578265,0.0733646979208584,0.0360896846104452,0.0170246239744888,1.966,0.48,4.68385335082502,-1.46026537079334,-1.99573545648541,-4.6601947765927,0.676001021724975,-3.32174819933916,-4.0730945138578,-2.6123124138142,-0.7339691750802
"24","Crystal",2010,623.875061,7.7,18.0989130434783,0.0316341634435513,0.45637074068192,0.367958832440837,0.0834066016215003,0.137375425367977,0.0449577641800359,0.0431705550236524,1.443,0.583,6.43595012556576,-0.784449771984602,-0.999784215438229,-3.45351762074902,0.366724279791734,-3.10203180372496,-3.1425966127994,-1.98503776986295,-0.539568092631645
"25","Deer",2018,14676.8,2.9,17.8684782608696,0.0493095126342804,0.977879105132789,0.310030649191698,0.170890743746118,0.159596059718744,0.0769505770537581,0.113885283925409,NA,NA,9.59402329475539,-0.0223692309718587,-1.17108411802978,-3.00963826250453,NA,-2.56459191965119,-2.1725636185847,-1.83510928275024,NA
"26","Delaney",2009,1278.123657,5.38,15.5989130434783,0.0262888501333777,0.459573188325431,0.281596756280929,0.0727799851317297,0.116013785123245,0.0373564431454118,0.0305651951870246,0.926,1.903,7.15314838847267,-0.777457071686073,-1.26727917365334,-3.63861037899156,-0.0768810443359576,-3.28724987504103,-3.4878933295567,-2.15404625766701,0.643431588314012
"27","Dogpaw",2010,1966.936157,3.86,18.7641304347826,0.0274518391169132,0.3289856724791,0.412157876490705,0.0736553100333861,0.115858994816868,0.0522682751327986,0.0339241668371588,0.767,1.808,7.58423236082114,-1.11174107786078,-0.886348807667415,-3.59532211447626,-0.265268477614881,-2.95136568598299,-3.38362763252641,-2.15538138919397,0.592221261969985
"28","Dryberry",2010,10238.58496,7.5,18.5684782608696,0.0867434673163018,0.80346697060831,0.344996835353049,0.214188435374092,0.239083716696948,0.0823107806495991,0.072439560724059,0.439,0.663,9.23391870154473,-0.21881920154642,-1.06422003488256,-2.44480016770193,-0.823255865906966,-2.49725318778063,-2.62500270998229,-1.43094150931729,-0.410980288796275
"29","Eagle",2008,641.4,NA,19.1141304347826,0.265176582119951,1.38773692023151,0.61853685170235,0.571578005139298,0.432189180999315,0.130533626600598,0.18356776079414,NA,NA,6.46365328725905,0.327674305381771,-0.480398506544037,-1.32735932728446,NA,-2.03612441031155,-1.69517141101748,-0.838891867616663,NA
"30","Eagle-1",2016,27691,2.9,18.1967391304348,0.0496429164981066,0.34841787461253,0.497324703015534,0.105017127000053,0.142102322069457,0.0822289723879896,0.0736088838245484,NA,NA,10.2288627296335,-1.05435273046183,-0.698512140223032,-3.00289956738801,NA,-2.4982475768792,-2.60898955639358,-1.9512079029186,NA
"31","Eva",2010,1726.177124,5,17.9304347826087,0.02536524217659,0.458961404171441,0.300638898758753,0.0762611308281982,0.103162732718161,0.0519087604867879,0.0636465363276419,0.509,0.754,7.45366448746741,-0.778789159229543,-1.20184540631347,-3.67437546034141,-0.675307262431614,-2.95826770754814,-2.75441037293557,-2.27144760822523,-0.282362910974181
"32","Factor",2010,640.0227661,5.1,18.4695652173913,0.0351606184764301,0.7174356851067,0.147210066096678,0.0607236362976029,0.208535908627417,0.0534420096678697,0.00963937683335826,0.444,4.711,6.4615037477523,-0.332071972847991,-1.91589469121647,-3.34782861597772,-0.811930716549912,-2.9291581444004,-4.64189881629169,-1.56764402893937,1.5499001997179
"33","Gilmour",2007,165,4.7,17.7369565217391,0.0495510184266858,0.37653443138657,0.428038724092906,0.0709306515928483,0.164484692898362,0.0839848378241441,0.0635401449103488,NA,NA,5.10594547390058,-0.976745784697648,-0.84854161064054,-3.00475246490201,NA,-2.47711899852481,-2.75608336952724,-1.80493776539594,NA
"34","Hogan",2007,1283.5,3.2,17.9597826086957,0.377706371713249,1.23696221948221,0.833131835690386,0.476325987539673,0.393745780646572,0.244210011618389,0.252822336695987,1.61535583012267,0.663721712944511,7.1573460003112,0.212658550892365,-0.182563383203141,-0.973638179633054,0.479555260655247,-1.40972672052761,-1.37506826342921,-0.932049804717939,-0.409892324366872
"35","Kaiashkons",2010,2025.220215,6.65,18.8923913043478,0.0511124232318465,0.65425435122213,0.278625393580731,0.097549089606288,0.175280315045437,0.0613663994736456,0.0323517458119407,0.515,1.796,7.61343372177614,-0.424259086891468,-1.27788707469485,-2.9737276952373,-0.663588378318401,-2.79089283346232,-3.43108729312534,-1.74136878631272,0.585561969880008
"36","Kakagi",2010,11061.6709,8.6,18.8097826086957,0.112204800924021,0.49626536557104,0.60604658497307,0.18871328181463,0.241100568590395,0.0878425533551936,0.032917686260675,0.433,1.13,9.31124133961487,-0.700644484092757,-0.500798422974537,-2.18742949782482,-0.837017550979647,-2.4322092333921,-3.41374518934088,-1.4225411354801,0.122217632724249
"37","Katimiagamak",2010,1078.848267,5.3,18.6532608695652,0.0403555879747496,0.67141223511025,0.224145687950769,0.08069718152026,0.162646726485963,0.0814105831905365,0.0630019223753938,0.479,1.549,6.98364933164402,-0.398371971322158,-1.49545904590336,-3.21002540625248,-0.736054681571222,-2.50824999979906,-2.764590039161,-1.81617475238912,0.437609561434732
"38","Kwinkwaga",2016,811.3,3,16.4989130434783,0.0450915676231438,0.49928220220364,0.410311165344722,0.0819568065176046,0.177000528120299,0.06888841641295,0.0508380375490776,NA,NA,6.69863789940102,-0.694583807607304,-0.890839467267836,-3.0990600206167,NA,-2.67526723682443,-2.97911043393546,-1.73160256268226,NA
"39","Lake_of_Bays",2008,6763.313477,4.3,17.6,0.271810670340591,1.65801359951346,0.670420333971853,0.523646402423313,0.323809580856949,0.217786930283947,0.256726716184711,0.233,1.912,8.8192682082677,0.505620259039814,-0.399850399170643,-1.3026495199761,-1.45671682541644,-1.52423807816285,-1.35974312100548,-1.12759964936551,0.64814981462921
"40","Longlegged",2009,6760.294434,3,14.9576086956522,0.0395759055146573,0.5518818489098,0.345158937424964,0.0960593265204484,0.139003865523109,0.0541354538098769,0.038477000403146,0.481,10.306,8.81882172341395,-0.594421297445336,-1.0637502798467,-3.22953479250002,-0.731888008876376,-2.91626596932513,-3.25769460832425,-1.97325353671935,2.33272624990603
"41","Lower_Manitou",2010,8871.666016,6.2,18.5271739130435,0.0631916876306704,0.91890994721904,0.339188403567036,0.15759253374054,0.252544405677174,0.0660445780906715,0.0532379913679785,0.675,1.498,9.09061788359664,-0.0845671513961811,-1.08119956324598,-2.76158251131064,-0.393042588109607,-2.7174253393367,-2.93298301404112,-1.37616818166098,0.404130885095028
"42","Mameigwess-1",2016,5309.7,7.6,17.6695652173913,0.0506139554350803,0.78700496250908,0.233635045256788,0.0957343601540241,0.171671789443903,0.0920413594895637,0.0799113208753956,NA,NA,8.57729061546482,-0.239520724982225,-1.45399501677694,-2.98352794160204,NA,-2.3855172432856,-2.5268377481942,-1.76217082601096,NA
"43","Mesomikenda",2010,1706.2,5.3,18.2695652173913,0.0956313312919276,0.58687750612343,0.998,0.171845921001837,0.321117434112874,0.0843247620544428,0.0607309251966008,NA,NA,7.44202395447459,-0.532939158743863,-0.00200200267067308,-2.34725477943841,NA,-2.47307971980606,-2.80130223459952,-1.13594838439679,NA
"44","Midlothian",2008,367.3,4.6,16.2934782608696,0.0573575057819217,0.63996116726298,0.352154956757916,0.122550526178592,0.171108176004472,0.0891192110432134,0.042976074165163,NA,NA,5.90617895282562,-0.446347780620885,-1.04368398218932,-2.85845156721498,NA,-2.41778035558906,-3.14711173290837,-1.76545931427842,NA
"45","Muskoka",2008,8900,NA,18.5815217391304,0.0195947046095231,0.316230637953829,0.246397723178486,0.0506520819348926,0.0869720546661559,0.041252978192257,0.0558389737319013,NA,NA,9.09380655572023,-1.15128346467607,-1.40080828771252,-3.93249592223248,NA,-3.18803197020747,-2.88528319942361,-2.44216842266061,NA
"46","Panache",2006,8006.1,6.9,19.1489130434783,0.0218772134071339,0.39858997634688,0.170382630707818,0.0347967149083368,0.105954339187127,0.0600383504402355,0.050636977064764,NA,NA,8.98795903010654,-0.919822018667455,-1.76970860224825,-3.82230966753113,NA,-2.81277174694081,-2.98307319754168,-2.24474704006043,NA
"47","Pickerel",2010,5355.734375,3.3,18.3141304347826,0.0277401652041316,0.59342789283107,0.167317037399581,0.0554470081059568,0.150902459328821,0.0459477956383688,0.0439997025039564,0.636,2.661,8.58592311166788,-0.52183956712215,-1.78786483875913,-3.58487390866504,-0.452556715642015,-3.08024940438083,-3.12357240636045,-1.8911216156021,0.978701991995552
"48","Pipestone",2010,3658.509,4.31,18.7554347826087,0.0143078006465507,0.32544996849064,0.115329687589002,0.0156996279130182,0.114337784033266,0.0500969673174672,0.0215032322454435,0.171,2.911,8.20481096634566,-1.12254653578157,-2.15996040359213,-4.24695039068839,-1.76609172247948,-2.99379480530897,-3.83955201815062,-2.1685981938373,1.06849666476349
"49","Radisson",2014,543.5,4.5,16.420652173913,0.0331272471511776,0.4869474747552,0.281636635659924,0.0567566512717099,0.144790103230089,0.0778410417558491,0.0502140657085695,NA,NA,6.29802970656126,-0.7195990164284,-1.26713756493613,-3.40739915845056,NA,-2.55308645789681,-2.99146009813349,-1.93247014922484,NA
"50","Raven",2009,616.7,2.9,15.9173913043478,0.0311886118040054,1.09593885366313,0.100438752519862,0.0612752073436988,0.21002532533228,0.0794789192074098,0.167415042348868,NA,NA,6.42438268199745,0.0916113965161301,-2.29820716492259,-3.46770225707959,NA,-2.53226345968728,-1.78727926624895,-1.5605271587155,NA
"51","Rib",2014,682,5.4,16.4347826086957,0.0195927572455888,0.71786387198557,0.131494252873564,0.0463542934415146,0.118648039207178,0.075098803538384,0.0796131302793513,NA,NA,6.52502965784346,-0.331475321243862,-2.02879213270293,-3.93259530932435,NA,-2.5889506519184,-2.53057624647691,-2.13159382209298,NA
"52","Rosseau",2011,6297.369141,5.3,19.8891304347826,0.00881046072287839,0.2712895390049,0.120745310107438,0.0217812867406133,0.0698342459938485,0.0335464241991508,0.0306674970268733,0.516,1.213,8.74788722849519,-1.3045686188336,-2.11407182689369,-4.73181554495551,-0.661648513500574,-3.394825002492,-3.48455191400452,-2.66163075924913,0.193096629961913
"53","Shillington",2011,136,3.1,18.3728260869565,0.0182555304208552,0.49394328305713,0.0973852353994202,0.0364252502406727,0.124779371882831,0.0262408991900821,0.0184550417200316,NA,NA,4.91265488573605,-0.705334580010817,-2.32908066709911,-4.00328720810081,NA,-3.64043604757867,-3.99241768186704,-2.081208126109,NA
"54","Silver",2010,2577.643,5.43,18.1565217391304,0.0499806486235564,0.93039680280605,0.219834093771272,0.0632731349802191,0.206621770631045,0.16336486138,0.175641853367813,0.162,0.492,7.85463069446854,-0.0721441141485373,-1.5148821363422,-2.99611937599735,-1.82015894374975,-1.8117691663161,-1.73930828126155,-1.57686535209293,-0.709276562489829
"55","Stormy",2010,3432.499512,4.5,18.2684782608696,0.0215454047296679,0.87039291267971,0.250692549106674,0.0504163263997459,0.158824808008347,0.0445645410266257,0.0575333740039161,1.077,0.747,8.14104399547169,-0.138810545515046,-1.38352799461585,-3.83759272277317,0.0741793981742515,-3.11081678041747,-2.85539008209649,-1.83995352065541,-0.29169009384932
"56","Sturgeon",2016,21412.7,4,16.8391304347826,0.0478377678096328,0.81840551025255,0.263215653794389,0.131948868169277,0.167001866318928,0.0720369151608942,0.105152927814727,NA,NA,9.97173948292734,-0.200397331409725,-1.33478160639684,-3.03993982992599,NA,-2.63057658078926,-2.25233953304868,-1.78975029106539,NA
"57","Tadpole",2010,521.8063354,4.5,18.3010869565217,0.0127125377344378,0.44318365122432,0.115427606771709,0.0286183479307951,0.113920787592392,0.0369522197605351,0.0141431387601894,1.303,0.993,6.25729651406242,-0.813771032261212,-2.15911172672706,-4.36516654931784,0.264669298142708,-3.29812955868232,-4.25852566576448,-2.17225191778556,-0.00702461493696447
"58","Temagami",2014,20971.7,10.7,16.5271739130435,0.0487495944550915,0.80104074863397,0.330155271043312,0.14820292595382,0.154040170758774,0.0473152108433525,0.0597681206553151,NA,NA,9.95092918880277,-0.221843461005515,-1.10819221686758,-3.0210584004428,NA,-3.05092345286887,-2.81728285958301,-1.87054186150077,NA
"59","Thieving Bear",2010,114.8,4.6,18.5815217391304,0.0242724321932288,0.65,0.118552799086013,0.0429738779174146,0.147736494143413,0.0548234164326587,0.0347172427367513,NA,NA,4.74319148388547,-0.430782916092454,-2.1323968557329,-3.71841405028742,NA,-2.90363786913257,-3.36051880660754,-1.91232503707096,NA
"60","Three_Mile",2007,415,3.8,17.8804347826087,0.0900531199674278,0.24120735294118,0.830999971295518,0.146414204030809,0.288137245817589,0.0802838868905249,0.047509585342451,0.0674603174603175,0.111111111111111,6.0282785202307,-1.422098329763,-0.185125518668786,-2.40735556090398,-2.69621574345521,-2.52218633955284,-3.04682379161657,-1.24431836438138,-2.19722457733622
"61","Upper_Manitou",2010,5310.433105,5.5,18.3782608695652,0.0423627988991077,0.69553331600446,0.36872639193864,0.112090181858814,0.187333480372812,0.0544740296410705,0.0460614463133955,0.541,2.923,8.57742867493995,-0.36307636653089,-0.99770039523891,-3.16148468632626,-0.614336000135655,-2.91003121123217,-3.07777898444439,-1.67486493284861,1.07261048612911
"62","Upper_Medicine_Stone",2009,1076.231812,2.35,14.8521739130435,0.0769086276689691,0.30432195086236,0.62683104775246,0.114347504946817,0.237815778819618,0.0826241515131856,0.0791569953787006,0.431,2.99,6.98122115617986,-1.18966908908322,-0.467078235980281,-2.56513721540914,-0.841647188878389,-2.49345324999239,-2.5363221152756,-1.43625894360623,1.0952733874026
"63","Victoria",2009,926.2330933,3.3,15.0760869565217,0.0266807178545867,0.59565775065154,0.32448317794893,0.0810291207372655,0.150620493887941,0.0432212622652989,0.0345792518348698,3.505,0.854,6.83112592359621,-0.518089020731203,-1.12552158409257,-3.62381415220272,1.25419052048655,-3.14142272274683,-3.36450143473694,-1.89299189128137,-0.157824085193567
"64","Wapageisi",2010,1304.994019,5,18.2586956521739,0.0360683019331342,0.51234935524928,0.309365875424088,0.102030235696166,0.136276625237801,0.0635564741135323,0.0390080546734645,0.791,0.38,7.17395373660453,-0.668748552155705,-1.17323063967283,-3.32234086216031,-0.234457311214483,-2.7558264122077,-3.24398712408806,-1.99306844994036,-0.967584026261706
"65","White_Partridge",2007,584.4,4.84,18.2663043478261,0.0415353617708167,0.388600566662499,0.360016740384537,0.0666979374764969,0.142368176179201,0.0690264966694568,0.0661922114455935,0.383720930232558,0.0697674418604651,6.37058567987654,-0.945203283824475,-1.02160474754496,-3.18121012370576,-0.957839734787028,-2.67326483839546,-2.71519247483995,-1.94933878686769,-2.66258782702545
